Name,Status,Population Census 2001-01-01,Population Estimate 2008-01-01,Population Estimate 2011-01-01,Population Estimate 2015-01-01,Population Estimate 2020-01-01
Albrandswaard,Municipality,17719,22453,24674,25148,25590
Alphen aan den Rijn,Municipality,104460,105579,106190,107396,111897
Barendrecht,Municipality,30972,44962,46831,47521,48714
Bodegraven-Reeuwijk,Municipality,32488,32226,32728,33208,34872
Brielle,Municipality,15964,15762,15978,16467,17271
Capelle aan den IJssel,Municipality,65016,65022,66104,66478,67122
Delft,Municipality,96152,96168,97690,101030,103595
Dordrecht,Municipality,120019,118182,118810,118899,119284
Goeree-Overflakkee,Municipality,46646,47780,48273,48206,50049
Gorinchem,Municipality,33994,34472,34895,35338,37022
Gouda,Municipality,71782,70857,71047,71105,73427
Hardinxveld-Giessendam,Municipality,17811,17604,17535,17802,18295
Hellevoetsluis,Municipality,38860,39620,39739,38882,40142
Hendrik-Ido-Ambacht,Municipality,21178,24854,27616,29156,31202
Hillegom,Municipality,20855,20348,20627,21101,22209
"Hoeksche Waard (incl. Binnenmaas, Oud-Beijerland)",Municipality,83292,85463,85008,84636,87401
"Kaag en Braassem (incl. Alkemade, Jacobswoude)",Municipality,25075,25252,25744,25844,27297
Katwijk,Municipality,59569,61180,62044,63633,65753
Krimpen aan den IJssel,Municipality,28696,28807,28626,28970,29526
Krimpenerwaard,Municipality,53862,53966,53664,54208,56319
Lansingerland,Municipality,40441,49411,54090,58133,62384
Leiden,Municipality,117010,116878,117915,121562,125099
Leiderdorp,Municipality,26174,26376,26609,26853,27056
Leidschendam-Voorburg,Municipality,...,72862,72068,73979,76534
Lisse,Municipality,21999,22131,22685,22539,22955
Maassluis,Municipality,32967,31394,31910,32201,33213
Midden-Delfland,Municipality,17907,17451,18154,18709,19341
"Molenlanden (incl. Molenwaard, Giessenlanden)",Municipality,42713,43492,43521,43457,43909
Nieuwkoop,Municipality,26890,26777,26988,27114,28811
"Nissewaard (incl. Spijkenisse, Bernisse)",Municipality,86583,85647,84648,85121,85219
Noordwijk (incl. Noordwijkerhout),Municipality,40018,40305,41039,41667,43508
Oegstgeest,Municipality,21110,22367,22767,22997,24840
Papendrecht,Municipality,30088,31573,31883,32188,32136
Pijnacker-Nootdorp,Municipality,35956,43762,49286,51203,55308
Ridderkerk,Municipality,46537,44689,44889,45149,46189
Rijswijk (ZH.),Municipality,53159,46833,46671,48216,54450
Rotterdam,Municipality,608422,595504,610386,623652,651157
Schiedam,Municipality,76096,74947,75718,76869,78730
's-Gravenhage,Municipality,...,475681,495083,514861,545838
Sliedrecht,Municipality,23663,23765,24061,24758,25220
Teylingen,Municipality,33943,35308,35812,35646,37440
Vlaardingen,Municipality,73666,70860,71269,71645,73397
Voorschoten,Municipality,22620,22861,23865,25150,25596
Waddinxveen,Municipality,26841,25638,25337,25657,29291
Wassenaar,Municipality,26019,25763,25830,25731,26305
Westland,Municipality,95084,99299,99776,104302,110375
Westvoorne,Municipality,13899,14084,13992,14083,14731
Zoetermeer,Municipality,110114,119504,121911,124025,125285
Zoeterwoude,Municipality,8683,8303,8130,8114,8605
Zuidplas,Municipality,39562,40210,40521,40771,43885
Zwijndrecht,Municipality,44946,44472,44445,44501,44737
Nederland [Netherlands],Country,15985538,16405399,16655799,16900726,17407585
